Topic,Count,Name,Representation,Representative_Docs
41,488,41_charity_union_ufcwcharityfoundation_awards,"['charity', 'union', 'ufcwcharityfoundation', 'awards', 'members', 'award', 'students', 'seniors', 'scholarships', 'accredited']","['Apply now for the Union Plus Scholarship! As a proud supporter of union families in education, Union Plus has awarded over $5.4 million in scholarships. This scholarship is for you and your family pursuing a degree in higher education. Application is now open! Find more information at csea.com/up-scholarships', '🎓Applications for the UFCW Charity Foundation scholarship are now OPEN! \n\n🗓️The scholarship deadline is May 15, 2022.\n\nLearn more about the scholarship and how you can apply here: http://ufcwcharityfoundation.org/scholarship', '2024 Union Plus Scholarship Program deadline is January 31.\n\nFor the 33rd year, the Union Plus Scholarship Program is gearing up to review thousands of applications from inspiring current and prospective college, university and technical or trade school students. Last year, $200,000 in scholarships was awarded to 205 students representing 41 unions.\n \nThe deadline to apply for a 2024 Union Plus Scholarship is January 31. \n\nVisit unionplus.org/scholarship to learn more and access the application.']"
42,486,42_union_delegates_council_iamstandingstrong,"['union', 'delegates', 'council', 'iamstandingstrong', 'district', 'legislation', 'legislative', 'go', 'members', 'join']","['More than 100 aerospace machinists are the newest members of IAM District 725. Thanks for the help, IAM District 751!', 'MACHINISTS ARE ON THE HILL! \n\nIAM members and political activists from across the United States convened in Washington, DC this week for the 2022 IAM Legislative Conference, hearing from allies of the Machinists Union and lobbying members of Congress. Check out our overview and pics of the conference ---> https://www.goiam.org/news/imail/machinists-union-members-make-powerful-return-to-capitol-hill-at-iam-legislative-conference/', 'We are the IAM! Union Strong!']"
43,482,43_boilermakersunion_unionproud_unionswork_union,"['boilermakersunion', 'unionproud', 'unionswork', 'union', 'unionstrong', 'mondaymotivation', 'apprentices', 'national', 'boilermakers', 'org']","['Solidarity to the working class ✊ We are union strong! \n\n#Boilermakers #UnionProud  #BoilermakersUnion', '#UnionStrong #Boilermakers', '#Boilermakers #UnionStrong']"
44,477,44_legislative_apprenticeships_apprenticeship_unopposed,"['legislative', 'apprenticeships', 'apprenticeship', 'unopposed', 'officers', 'elected', 'staff', 'workforce', 'elections', 'today']","['A Labor Day message from ATU International President John Costa. #TogetherWeFightTogetherWeWin', 'Today, International President John Costa took time out of the ATU General Executive Board meeting in Calgary, AB, to kick off the Illinois Joint Conference Board taking place in Springfield, IL, with our Locals from across the state \n\nCosta spoke about issues impacting our members, our Union, and our communities and the importance of politics and elections. “We appreciate the hard work you do to represent our members and our Union,” Costa said, pointing to our success in repealing Right-to-Work in Michigan, but also the challenges that lie ahead including the anti-union law in Florida.  “This is important work that the Joint Conference Board does. People like fighting back. If you have a cause, our members will get involved.” He also discussed the Infrastructure law with historic transit funding and critical safety protections for our members, the upcoming ATU Legislative Conference, our industry-leading apprenticeship programs, and other issues.\n\nInternational Executive Vice President Yvette Trujillo and International Secretary-Treasurer Ken Kirk also addressed to the Joint Conference Board. #ATUStrongerTogether', 'Today, the ATU Texas State Legislative Conference Board met at Local 1091-Austin, TX, bringing together Locals from across the state to talk about issues affecting our members, our Union and our communities.  \n\nInternational President John Costa kicked off the meeting by zoom to thank the Locals for their leadership in fighting for our members and our Union over the past few challenging years. Costa talked about the importance of political action and the critical upcoming mid-term elections, our organizing of new members, and contract wins. He also discussed our success to secure COVID relief funding to save our members’ jobs and transit agencies, and the US Infrastructure bill with historic transit funding and critical safety protections for our members. \n\nCosta took questions and lead a discussion on our push for protections to combat the epidemic of attacks on our members, the upcoming International Convention, our new website, the new trainings for our members, our work to prepare our members for Zero-Emission vehicles, our innovative workforce development programs, paratransit, our response to push back on Autonomous Vehicles and Microtransit, and other issues. \n\nAlso attending by zoom and addressing the board were International Secretary-Treasurer Ken Kirk and International Vice Presidents Yvette Trujillo and Ray Greaves.\n\n “You must involve our members to win. People like fighting back. If you have a cause, our members will get involved. You showed that in your winning campaigns and I applaud you for that work,” Costa told the board in wrapping up and pledged the International’s support and assistance to our Locals. #TogetherWeFightTogetherWeWin']"
45,473,45_newspapers_unionhistory_workers_union,"['newspapers', 'unionhistory', 'workers', 'union', 'labor', 'strike', 'history', 'started', 'massacre', 'company']","['GM’s Fisher Body Ohio Company was located on the east side of Cleveland, Ohio, in the Collinwood neighborhood of the city. 7,000 workers produced Chevrolet bodies at the facility. \nIn December of 1936 the UAW was working hard using sit-down strikes to gain national recognition from General Motors. Fisher Body workers in Kansas City began a sit-down strike on Dec. 16, right on the heels of GM workers in Atlanta sitting down. Soon after, on Dec. 28, a relatively small group of workers at Fisher Body in Cleveland, about 200, sat down at their machines and joined their co-workers in Atlanta and Kansas City, protesting lower wages at Fisher Body plants than at GM facilities, and for discriminatory firings of workers. \nAt 2 p.m. on Dec. 28 their sit-down began and 125 picketers joined them on the street shortly after as the news spread of the action. The Cleveland Fisher Body workers had a set list of demands that they made clear to management: They wanted to avoid layoffs by changing the shift schedule and creating three, seven-hour shifts. If they were going to have to work on a holiday or a Sunday they expected to be paid double their regular wage. They also demanded that union members who were negotiating with management on these terms be paid for their negotiating time. Contentious negotiations between workers and management in Cleveland lasted for more than a month. All the while, the 200 workers at the Collinwood Fisher Body plant stayed put and held strong with their sit-down strike. \nAs time dragged on past the holidays, the nation paid more attention to the GM Fisher Body strikes in Atlanta, Kansas City and now Cleveland, even prompting President Roosevelt to publicly reprimand GM for refusing to grant workers their terms of settlement for the strike. The federal government would eventually get involved with all of the disputes between strikers and General Motors Corp. that started that December, with the president noting that GM “accounted for about one-twentieth of the economic activity of the United States.” That percentage was even more important in 1936 because it was helping lift the country out of the Depression. These GM jobs and the buying power it created for the workers were essential to the country’s economic recovery. \nThe Cleveland strike finally ended when the company agreed to recognize the UAW after the famous Flint Sit-Down strike further caught the country’s attention, ending in February of 1937. Immediately after the Flint recognition, the city of Cleveland and its Fisher Body workers celebrated. The city’s leading newspaper, the Cleveland Plain Dealer, put it this way: ""Word of the strike settlement was received with rejoicing by the whole Collinwood district, where many of the strikers live and where merchants had felt the financial effect of the stoppage of thousands of weekly pay envelopes."" #UnionHistory #PROUAW', 'On Nov. 17, 1936, workers at the Fisher Body plant on McDonough Boulevard near Atlanta, Georgia, stopped working and sat down. Though the Flint sit-down strike in Michigan was a month away, it has always garnered more attention.  But it was in Atlanta where workers first used the sit-down strategy and built the momentum for the first major dispute in U.S. auto history.\n\nThe UAW wanted to gain recognition as the sole bargaining agent at General Motors, make the company stop sending work to nonunion plants, gain a fair minimum wage scale, and put grievance procedures and health and safety measures in place. Not everyone was on board with how to achieve those goals, and at times UAW leaders and members of the Congress of Industrial Organizations wondered if the UAW was moving too fast and whether it was truly ready for a general strike.\n\nIn plants across the county, vehicles were being churned out quickly to meet rising consumer demands. Autoworkers faced exhaustion on fast-moving production lines. They couldn’t get restroom breaks and the company found ways to thwart organizing like denying activists the right to distribute union materials on the plant floor. Wearing a union button was enough get a worker laid off or fired. \n\nOn Sept. 11, 1936, when UAW President Homer Martin warned union leaders that the right to organize would have to be established during that production season, Fred C. Pieper, a 24-year-old union leader in Atlanta, took that message to heart. \n \nOn Oct. 30, Pieper staged a brief sit-down strike at the Atlanta plant to protest, among other things, not being able to distribute union literature in the plant. On Nov. 6, the local presented its demands to management figuring they would be rejected. \n\nAs the plan materialized, union officials asked other GM locals for support. Autoworkers at Missouri GM plants in Norwood, Kansas City and St. Louis, said they were on board. So were locals in Toledo, Ohio, Janesville, Wisconsin and in Flint.  Even the community supported the workers with food and fuel. The strikers had ""food"" squads” which went to the city markets in the area and collected food the food the farmers couldn’t sell each day.  Miners from Birmingham, Alabama also sent coal to keep the strikers warm. \n\nOn Nov. 17, the Atlanta Fisher Body workers stopped working and sat down to protest a worker being laid off for wearing a union button to work. Protestors remained in the plant overnight and the next morning took up picket signs outside. They met with Chevrolet employees and they too voted to strike. By Nov. 24, the strike has spread to the parts and service division of the Atlanta plant.\n\nIt was nearing the Christmas season, a rush season for automotive production. The UAW called for more support for Atlanta. Workers sat down in two plants in Kansas City, Missouri, on Dec. 16. The strike spread to a Fisher stamping plant in Cleveland, Ohio, on Dec. 28. \n\nOn Dec. 30, more autoworkers sat down and this time attention turned to Flint. For 44 days the world watched as now 135,000 workers from plants in 35 cities in 14 states were striking GM.  \n\nGM caved and on Feb. 11, 1937, signed that first agreement with the UAW. That settlement covered GM workers nationally and led to recognition of the UAW in Atlanta.  The Atlanta workers held out for three long months to wait for their victory.#UnionHistory #PROUAW', 'Today, we celebrate the immense life and legacy of longtime UAW President Walter P. Reuther, who was born on this day in 1907. Born in Wheeling, West Virginia, Reuther was the son of a union activist, Valentine Reuther, and the older brother of Roy and Victor Reuther. \n\nAt fifteen, Walter left high school to become an apprentice toolmaker to help support his family. He moved to Detroit in 1926 and worked at the Briggs Manufacturing Company and the Ford Motor Company. During this period, he completed his high school education and attended what is now Wayne State University for three years.\n\nIn 1933, Ford dismissed him, possibly because of his organizing activities. At that point, he and his brother, Victor, withdrew their savings and embarked on a bicycle trip through Europe. The trip took them to the Soviet Union, where they worked at an automobile plant in Gorki. They returned to the United States in 1935.\n\nIn Detroit, Reuther became intensely involved in the newly‑formed United Automobile Workers Union, founding and becoming the first president of the West Side Local 174. At the 1936 UAW Convention, delegates elected him to the International Executive Board. At the 1942 convention, he was elected a vice president.\n\nReuther was a key leader, along with his brothers Victor and Roy, in the historic General Motors sit‑down strike of 1936-37. \n\nDuring an organizing campaign on May 26, 1937, at the Ford Rouge plant, Reuther and other UAW leaders were beaten by company ""servicemen"" in an incident that came to be known as the ""Battle of the Overpass."" \n\nWrote Curtis Hansen about the pivotal event: “Reuther and his companions were told to leave, allowed no time to respond or withdraw and immediately attacked by the Ford thugs. They were punched, kicked, picked up, slammed to the ground repeatedly, and after a severe beating, tossed down the stairs to the road below.”\n\nReuther served as director of the General Motors Department of the UAW from 1939 to 1948. He also served as director of the Fair Practices and Anti‑Discrimination Department, which was created in 1946 with William Oliver as co‑director.\n\nEven before the United States\' entry into World War II, Reuther conceived the idea of mass production of military planes using automobile plant facilities. Despite initial opposition from industry, the ""Reuther Plan,"" as it was known, was implemented once the country entered the war. \n\nAt the war\'s end, Reuther demanded a wage increase in negotiations with General Motors, coupled with the stipulation that GM not pass the cost along to the consumer through increased prices which would erode the advantage gained for the workers and contribute to inflation. Reuther failed to commit GM to this principle despite a 113‑day strike, but the confrontation established him as an innovative negotiator whose sights were set on broader goals than those of traditional unionists.\n\nAfter a bitter contest at the UAW convention in March 1946, Reuther was elected president of the UAW, narrowly defeating incumbent R.J. Thomas. He would hold the office until his death. Later that year, he was elected vice president of the CIO. \n\nOn April 20, 1948, he was again the victim of a physical attack. That night, Reuther and his wife, May, were in the kitchen of their modest home. He had just stepped to the refrigerator when a shotgun blast from outside hammered into his chest and right arm. The assailant, who was never found, escaped into the darkness, and Reuther was hospitalized for three months. \n\nIn 1952, Reuther succeeded Philip Murray as president of the CIO, and he led efforts to merge the CIO and the AFL, which came about in December of 1955. He then became a vice president of the AFL‑CIO and president of the Industrial Union Department. \n\nDisagreements over social issues, organizing unorganized workers, international labor and foreign policy, the Vietnam War, and other matters, in which Reuther urged a more activist stance, led to the UAW\'s withdrawal from the AFL-CIO in 1968.\n\nUnder Reuther\'s leadership, the UAW gained for its members, among other collective bargaining breakthroughs, the guaranteed annual wage, supplemental unemployment benefits, cost‑of‑living escalator and annual improvement factor provisions, pension plans, health insurance for workers and their families, and profit‑sharing plans. \n\n“He had a terrific sense of timing,” said Louis Seaton, who was vice president and chief labor negotiator for GM for twenty-three years. “Reuther was a master of it – knowing how long he could hold back until he made a move the union was ready for. I suppose it boiled down to the fact that he was a superb politician. He understood what it took to gain a position and what it took to maintain it.”\n\nWrote Solidarity magazine about Reuther’s bargaining strategy: “As Reuther often said, ‘establish the principle in the contract and then build on it.’ In that way, innovative contract principles, embodying important but seemingly modest gains, were expanded in subsequent negotiations into much broader benefits, giving increasingly greater security to workers and their families.” \n\nDuring his twenty‑four-year administration, the UAW established its identity as a powerful, well-organized union, successful in protecting the rights and interests of its members yet responsive to its social responsibilities.\n\nReuther saw that improved living conditions for workers could not be achieved solely at the bargaining table and used his influence to further social reforms. Throughout his career, he fought discrimination, and he was an active participant in the civil rights movement from its inception. In addition, he worked for improved housing, better education, medical care, consumer rights, and environmental causes. \n\n“Labor cannot make progress at the expense of the rest of the community,” Reuther would say. “Labor can make progress only as the rest of the community makes progress.” \n\nReuther advocated for union participation in the political process through political action committees, and under him, the UAW played a leading role in working for candidates advocating for pro-worker policies. “There\'s a direct relationship between the ballot box and the bread box, and what the union fights for and wins at the bargaining table can be taken away in the legislative halls,” Reuther famously said. \n\nWalter’s life was tragically cut short when he and his wife, May, who had shared in his beliefs and his work from the time of their marriage in 1936, were killed in the crash of a small plane while on their way to the UAW educational center at Black Lake, Michigan.\n\nSaid G. Mennen Williams, the governor of Michigan at the time of Reuther’s passing: “Walter Reuther affected the lifestyle of the United States like few in his generation. He made richer lives for millions and left this a better world.”']"
46,470,46_rwdsucallcrew_volunteers_2020victory_endorsed,"['rwdsucallcrew', 'volunteers', '2020victory', 'endorsed', 'elect', 'nyclaborvotes', 'bidenharris2020', 'voting', 'join', 'vote']","['Georgia voters: we need all hands on deck to get labor champions like Stacey Abrams and Reverend Raphael Warnock elected! Make sure you’re registered to vote by the October 11 deadline!\n\nRegister to vote: https://www.vote.org/state/georgia/\n\nFind RWDSU’s GA endorsements: https://www.rwdsu.info/rwdsu_endorsements_2022_georgia', '""Whether it was standing with workers seeking to organize their first union with RWDSU at Nestle, workers standing up to Amazon in Bessemer, or campaigning to win a pro-worker majority in the US Senate, Stacey Abrams was there."" - RWDSU Prez <redacted_mention>\n \nICYMI, RWDSU has proudly endorsed Stacey Abrams for Governor of Georgia: https://rwdsu.info/retail_wholesale_and_department_store_union_endorses_stacey_abrams_for_georgia_governor\n\nCC: Rwdsu Southeast Council', ""Across the country, RWDSU members are on the ground helping #GetOutTheVote for #BidenHarris2020! In Georgia, Rwdsu Southeast Council members joined Barack Obama to rally for Reverend Raphael Warnock and Jon Ossoff! We're proud to support candidates who fight for working families. #1u""]"
47,466,47_firefightercancerawarenessmonth_ffcancermonth_worldcancerday_support,"['firefightercancerawarenessmonth', 'ffcancermonth', 'worldcancerday', 'support', 'firefighters', 'service', 'our', 'duty', 'pfas', 'cancers']","['#FFCancerMonth: Please visit the resources developed by the Firefighter Cancer Support Network and the IAFF to help reduce cancer in the fire service including information on cancer screening. #FightFFCancer\n\nhttps://www.iaff.org/cancer-awareness-month/#how-to-get-started', 'Learn more about cancer in the fire service and how to reduce and prevent occupational cancer: https://www.iaff.org/cancer-awareness-month/', ""🔥🎗️ January is Fire Fighter Cancer Awareness Month. Occupational #cancer is the leading cause of line-of-duty deaths among fire fighters, and the #IAFF and the Firefighter Cancer Support Network are committed to providing members with the best prevention methods to reduce their risk of cancer.\n\nAs we turn the page to 2024, let's start the New Year off right by doing everything we can to prevent cancer on the job.\n\nReview and share our latest resources throughout the month: 🔗 www.iaff.org/cancer-awareness-month\n\n#FireFighterCancerAwarenessMonth""]"
48,458,48_1usafety_workers_workplace_workplaces,"['1usafety', 'workers', 'workplace', 'workplaces', 'workersmemorialday', 'protect', 'occupational', 'protections', 'safety', 'at']","['On April 28, the labor movement will once again observe Workers Memorial Day to remember workers killed or injured on the job and to renew the fight for strong safety and health protections. \n\nFind an event near you to help honor workers in your community. https://aflcio.org/about-us/conferences-and-events/workers-memorial-day', 'Today is International Workers’ Memorial Day, a day when we remember and honor our fallen brothers and sisters in the labor movement. It is a time to look back and mourn for workers killed and injured on the job, as well as a time to look ahead and rededicate ourselves to the fight for safe workplaces.\n\nLast year, many working men and women throughout the U.S. and Canada, including Teamsters, were killed and injured on the job due to unsafe conditions. We ask everyone to take a few minutes today to remember these workers.  \n\nForty-nine years ago, Congress passed the Occupational Safety and Health Act, promising every worker the right to a safe job. Decades of struggle by workers and their unions resulted in significant improvements in working conditions. Unions won regulations, standards and other protections that have made workplaces safer for all workers. Union contracts have also given workers a voice on the job.  \n\nStill, the toll of workplace injury, illness and death remains enormous. Some Teamsters within our union’s 22 trade divisions and conferences, both in the private and public sectors, are particularly at risk, suffering very high rates of job injuries and fatalities. Roadway incidents continue to be the leading cause of on-the-job fatalities and truck drivers suffer more on-the-job fatalities than any other individual occupation. \n\nOn this #WorkersMemorialDay, we need to join hands to seek stronger safety and health protections and better standards and enforcement. To quote Mother Jones, a small woman but a giant in the American labor movement, “Mourn for the dead and fight like hell for the living.”\n\nwww.teamster.org/workers-memorial-day-april-28-2019\n#IWMD19', ""This Workers’ Memorial Day let's remember those we've lost on the job and continue to fight for safety and dignity at work.""]"
49,456,49_congress_lawmakers_senators_cwa,"['congress', 'lawmakers', 'senators', 'cwa', 'congressweb', 'corporations', 'representative', 'negotiators', 'senate', 'oppose']","['Since the passage of fast track in Congress, we have a great deal to be outraged about. Now the deal heads to the White House for final approved, allowing the administration to push through terrible trade pacts like the Trans-Pacific Partnership (TPP). Since 2008, corporations supporting unfair trade have showered $218 million on senators that passed fast track this week. But the fight is not over! Now we turn the focus of our movement on the TPP itself. Read more about what comes next: http://teamsternation.blogspot.com/2015/06/the-war-against-bad-trade-deals.html', ""That's what Congress is supposed to do. But if Congress passes Fast Track legislation, it will only be able to rubber stamp the Trans-Pacific Partnership (TPP). You can make a difference by calling your representatives in Congress at 888-979-9806 and telling them to vote NO on Fast Track. \n\nFor an update on the fight against Fast Track, click here: \nhttp://teamsternation.blogspot.com/2015/02/anti-fast-track-protests-enter-2nd-week.html"", 'Fast Track and the TPP  will be a dangerous thing to us all.   #StopFastTrack #StopTPP']"
50,438,50_unions_workers_representatives_worker,"['unions', 'workers', 'representatives', 'worker', 'wages', 'lawmakers', 'labor', 'legislators', 'wage', 'work']","['Right to work means the right to work for lower wages and unsafe working conditions.  Right to work is wrong for everyone.', '👏💪 Michigan officially repealed right-to-work on Tuesday, making it the first state in nearly 60 years to repeal the law. \n\nMichigan passed its anti-union right-to-work law in 2012 along with Indiana in a false attempt to make the states more “competitive” for business. \n\nData shows that states with RTW laws have higher unemployment rates, fewer employer-sponsored healthcare benefits, and workers make lower wages. \n\nThe Michigan Professional Fire Fighters advocated for the repeal in the MI state legislature and under Governor Gretchen Whitmer’s leadership, legislation was signed in 2023 to repeal the law. This past Tuesday was the first day the law was officially off the books.\n\n📰 Read more about the repeal process from last year and hear from state leadership about why RTW laws are anti-worker and anti-union. \n\n➡️ https://www.iaff.org/news/right-to-work-repealed-in-michigan/', 'Right to work = right to work for less.']"
51,435,51_workers_wages_worker_congress,"['workers', 'wages', 'worker', 'congress', 'support', 'together', 'joining', 'careweek', 'independence', 'join']","['Home care workers are joining together to get better training to improve care, higher wages to support their families, and basic benefits like affordable healthcare and paid sick time. \n\nNow, in their latest attack on working people, billionaire-funded extremist groups are trying to silence home care workers and could endanger quality home care services. Take action by signing this petition to support home care workers who work hard to take care of our parents, grandparents and loved ones. #RiseUpHomeCare', 'Home care workers take care of your loved ones. This hard work and essential care allows parents, grandparents and people with disabilities to live with dignity and independence in their own homes. \n\nBy joining together, home care workers can get higher wages, basic benefits and training to provide better and safer care. All this is under attack in a transparent attempt to silence us. \n\nWe won’t be stopped. Sign this petition to speak up for quality home care. #RiseUpHomeCare', 'The Trump administration wants to deny home care workers the ability to choose to join together in strong unions and advocate for better care, higher wages, better training, and basic benefits.\n \nHome care is one of the fastest growing jobs in the nation and it’s crucial to ensuring seniors and people with disabilities remain at home living with dignity and independence. This rule would jeopardize quality home care.\n \nHome care workers are ready to fight in court for our rights, our dignity and the quality of home care services. Join the fight: seiu.org/RiseUpHomeCare #RiseUpHomeCare']"
52,426,52_teachers_students_public_education,"['teachers', 'students', 'public', 'education', 'educators', 'federal', 'crisis', 'lawsuit', 'protection', 'nea']","['Student loan borrowers don’t have to make a loan payment until Aug. 31, thanks to a Biden administration extension. But public service workers need more student loan relief. Find out how AFSCME is fighting to provide that relief and see if you’re eligible to have your student loans forgiven.', 'Great news: First it was 30,000, then 70,000 – now 100,000 dedicated public service workers qualify for student loan forgiveness because of changes made by the Biden administration to the Public Service Loan Forgiveness (#PSLF) program.\n \nAFSCME pushed hard to expand the number of public service workers who are eligible for federal student loan relief and provides members with tools to navigate the PSLF process. Visit the AFSCME Student Debt Resource page to learn more: http://www.afscme.org/studentdebt\n \nLet’s continue to raise our voices and encourage more relief for all working people who are saddled with crushing student debt.', 'At the end of 2020, student borrowers owed $1.7 trillion in federal and private student loans. About 20% of student loan borrowers are in default and that number could grow to 40% by 2023. \n\nWhat has your experience been with student debt and loan forgiveness? Click here to tell your story, and to tell your lawmakers what debt cancellation would mean for you and your family.']"
53,405,53_congress_legislation_legislative_union,"['congress', 'legislation', 'legislative', 'union', 'workers', 'crews', 'org', 'proposed', 'crew', 'bill']","['Today, Vince Verna, Vice President and National Legislative Representative of the Brotherhood of Locomotive Engineers and Trainmen (BLET), testified at a Federal Railroad Administration hearing in support of its proposed minimum crew size rule. The push by major freight rail carriers to eliminate one of the two qualified crew members that currently work in locomotive cabs is one of the biggest existential threats facing rail operating employees.\n\n""Determining train crew size and train size by the whims of the financial markets cannot be allowed,"" Verna testified. ""A railroad that attempts to game their operations according to a business model designed for other industries does so at their employees’ and the public’s peril. Railroad employees who work in the cab of the locomotive know best when it comes to safe train operations. Through their actions, train crews help safeguard lives and the lives of the public.""\n\nAt its core, the issue of crew size is a safety issue. Rail workers are already suffering from longer shifts, unpredictable schedules, and fatigue. Trains that are miles long, weigh thousands of tons and are often carrying hazardous materials cannot be safely operated by one worker. When rail companies are allowed to operate at less than bare minimum labor capacity, it results in more supply chain disruptions and severe safety risks for rail workers and the communities their trains travel through.\n\nThe push by rail bosses to reduce train crews despite enjoying historic profits from one of the most lucrative industries in America - and after cutting more than 30 percent of rail jobs since 2017 - is part of a larger problem affecting the entire supply chain. Whether it\'s the rail carriers, UPS, or freight companies, there is a united strategy by employers to purposefully understaff operations and push workers to their breaking point. Why? Because there is seemingly no profit margin large enough to satisfy these 21st Century robber barons.\n \nThe minimum crew size rule is an essential safety regulation that needs to be implemented to rein in the rail industry\'s greed and protect workers. The International stands with the BLET in support of this regulation.', 'SMART-TD members in California stood in strong solidarity for rail safety last week:', 'SMART TD Rail Safety Alert for Members  https://smart-union.org/news/rail-safety-alert-it-is-time-to-lead/']"
54,403,54_union_unions_laborers_worker,"['union', 'unions', 'laborers', 'worker', 'voting', 'support', 'candidates', 'members', 'ua', 'feelthepower']","['Sarah, a proud Wisconsin Laborer, says it best: ""A vote for Kamala is a vote for my union."" Stand with your union and Kamala Harris on November 5 to protect our #UNION rights and secure a better future. #WhenWeFightWeWin #FeelThePower #LIUNAVotes \n\nWATCH:', 'Kamala Harris will fight for America’s workers! She know that #unions built the middle class and are our ticket to prosperity. \n#FeelThePower #WhenWeFightWeWin\n \nCheck out Kamala’s pro-worker plans: https://www.liunaforharriswalz.org/kamala-harris', ""Kamala Harris is for working people. I'm voting for Kamala Harris!\n#StandUpUAW #GOTV""]"
55,393,55_union_unionize_unionsforall_unionized,"['union', 'unionize', 'unionsforall', 'unionized', 'sbworkersunited', 'solidarity', 'starbuckssolidarity', 'corporations', 'starbucksunion', 'solidarityseason']","['Big win for Starbucks workers!!! 🎉🎉🎉', 'More Starbucks workers won their union today!', 'Solidarity with Starbucks workers fighting for their union. ✊']"
56,392,56_workers_mlkday_labor_honoring,"['workers', 'mlkday', 'labor', 'honoring', 'commemorate', 'celebrate', 'rights', 'unite', 'honor', 'work']","['Today, we continue to honor the life and legacy of Dr. Martin Luther King, Jr.', 'Today, and every day, we honor Dr. Martin Luther King Jr.', 'Today we honor the legacy and life of Dr. Martin Luther King, Jr.']"
57,388,57_womeninconstructionweek_apprenticeship_committee_org,"['womeninconstructionweek', 'apprenticeship', 'committee', 'org', 'womenbuildnations', 'conference', 'womeninconstruction', 'organizer', 'utm', 'local']","['#IBEW sisters take the streets of New Orleans at Tradeswomen Build Nations conference. Tradeswomen Build Nations', ""North America's Building Trades Unions' annual Tradeswomen Build Nations conference, the largest gathering of tradeswomen in the world, is going to be held in Washington, DC from December 1-3. \n\nTo learn more and register: https://nabtu.org/twbn"", 'Tradeswomen Build Nations kicks off this Friday! Last chance to register here: https://nabtu.org/twbn/ and RSVP for the SMART welcome event here: https://www.eventbrite.com/e/smart-women-at-tradeswomen-build-nations-las-vegas-tickets-419304520107.']"
58,380,58_org_california_local_work,"['org', 'california', 'local', 'work', 'ca', 'warehouse', 'fed', 'job', 'sanitation', 'francisco']","['Shout out to Local 986 Teamsters at American Airlines! 👍', 'Shout out to Local 350 Teamsters on the job!', 'Shout out to Local 986 members at work ️💪']"
59,376,59_usfa_association_firefighters_mayors,"['usfa', 'association', 'firefighters', 'mayors', 'event', 'paramedics', 'fighters', 'iaffmayorsfireops', 'uscm', 'officers']","['Does your mayor fully understand what fire fighters do every day to protect your community? FIRE OPS 101 is one of the most powerful tools for educating elected officials on what it takes to be a fire fighter. Register today! www.iaff.org', 'Check out the action-packed photos from the Des Moines FIRE OPS 101 event on July 9 - legislators were awed by what it really means to be a fire fighter: http://bit.ly/2toko0v \n\nLocals that participated:\nIowa Professional Fire Fighters \nDes Moines Firefighters \nMuscatine Professional Firefighters IAFF Local 608 \nSioux City Professional Fire Fighters Association - I.A.F.F. Local 7 \nIowa City Professional Firefighters IAFF Local 610 \nCouncil Bluffs Professional Fire Fighters Association IAFF Local 15 Ames Professional Firefighters Local 625 \nBurlington Iowa FireFighters Local 301\nDavenport Association of Professional Firefighters Local #17', 'The New York State Professional Fire Fighters Association is hosting a Fire Ops 101 event Tuesday.Fire Ops provides elected and appointed officials and the media with a hands-on opportunity to better understand how fire fighters do their jobs everyday.']"
60,356,60_renews_provide_demands_protections,"['renews', 'provide', 'demands', 'protections', 'ca', 'members', 'public', 'protect', 'protection', 'assault']","['Another day, another attack on a bus driver. All transit workers deserve better protection on the job #notonemore', ""Another day, another attack on a transit worker. It's time for better protections for transit workers and riders.#NotOneMore"", 'Time for better protections for all transit workers and riders. #NotOneMore']"
