Region,Case Number,Case Name,Case Type,City,State,Election Held Date,Number of Eligible Voters,Valid Votes Against,Votes for Labor Org 1,Labor Org 1 Name,"Stipulated
/ Consent
/ Directed",Certification of Representative Date (Win),Certification of Results Date (Loss),Case Closed Date,Closed Reason,Votes for Labor Org 2,Labor Org 2 Name,Union To Certify,Votes for Labor Org 3,Labor Org 3 Name,For Proposition,Against Proposition	,"Stipulated / Consent
/ Directed",Against Proposition,Dispute Unit City,Dispute Unit State,Num Eligible Voters,"Stipulated
/ Consent / Directed",Cert of Rep (Win),Cert of Results (Loss),Closed Date,Votes For Labor Org3,Labor Org3,Stipulated/Consent,Case ID,Stipulated / Consent / Directed
"01, 34",01-RC-138052,CHAMPLAIN COLLEGE,RC,BURLINGTON,VT,2014-11-24,222.0,30.0,118.0,Service Employees International Union,Stipulated,WON,,2014-12-05,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-138144,TRUSTEES OF BOSTON UNIVERSITY,RC,Boston,MA,2014-12-05,8.0,0.0,6.0,"International Brotherhood of Police Officers/National Association of Government Employees/SEIU, Loca",Directed,WON,,2014-12-16,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-138466,SAINT MICHAEL'S COLLEGE,RC,COLCHESTER,VT,2014-12-01,101.0,26.0,46.0,Service Employees International Union,Stipulated,WON,,2014-12-12,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-138700,"FRASER PETROLEUM SERVICES, INC.",RC,Newton,MA,2014-11-21,12.0,4.0,8.0,"UNITED ASSOCIATION OF PLUMBERS, PIPEFITTERS, SPRINKLER FITTERS AND HVAC TECHNICIANS, LOCAL 537",Stipulated,WON,,2014-12-02,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-139034,"BIMBO BAKERIES USA, INC.",RC,CHICOPEE,MA,2014-12-01,25.0,8.0,15.0,"BAKERY CONFECTIONERY & TOBACCO WORKERS AND GRAIN MILLER INTERNATIONAL UNION LOCAL 53, AFL-CIO CLC",Stipulated,WON,,2014-12-12,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-139126,VERIZON WIRELESS,RC,EVERETT,MA,2014-12-10,15.0,4.0,9.0,COMMUNICATIONS WORKERS OF AMERICA,Stipulated,WON,,2014-12-23,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-139363,"Alta Bicycle Share, Inc. d/b/a Hubway",RC,CHARLESTOWN,MA,2014-12-04,36.0,8.0,23.0,"Transport Workers Union, Local 100 a/w Transport Workers Union of America, AFL-CIO",Stipulated,WON,,2014-12-15,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-139493,FIRST STUDENT ABINGTON,RC,ABINGTON,MA,2014-12-01,59.0,8.0,38.0,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS, A/W GENERAL TEAMSTERS, CHAUFFEURS, WAREHOUSEMEN & HELPERS OF",Stipulated,WON,,2014-12-12,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-139754,BOSTON UNIVERSITY,RC,BOSTON,MA,2015-01-13,799.0,158.0,319.0,"SERVICE EMPLOYEES INTERNATIONAL UNION, LOCAL 509",Stipulated,WON,,2015-02-18,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-139931,MERRIMACK COLLEGE,RC,North Andover,MA,2015-01-22,18.0,3.0,15.0,AMERICAN COALITION OF PUBLIC SAFETY (ACOPS) LOCAL 18,Directed,WON,,2015-02-03,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-139983,RHODE ISLAND SCHOOL OF DESIGN,RC,Providence,RI,2014-12-16,24.0,8.0,16.0,NATIONAL EDUCATION ASSOCIATION RHODE ISLAND,Stipulated,WON,,2014-12-29,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-140081,COMPUTER SCIENCES CORPORATION (CSC),RC,CAMP EDWARDS,MA,2014-12-10,3.0,0.0,3.0,"INTERNATIONAL ASSOCIATION OF MACHINISTS & AEROSPACE WORKERS, AFL-CIO, DISTRICT LODGE 1",Stipulated,WON,,2014-12-23,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-140673,YRC Inc. (d/b/a YRC Freight),RC,Shrewsbury,MA,2014-12-10,3.0,0.0,3.0,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS, LOCAL 170",Stipulated,WON,,2014-12-23,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-141130,FIRST STUDENT INC.,RC,TILTON,NH,2015-01-09,63.0,14.0,39.0,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS, CHAUFFEURS, AND HELPERS LOCAL UNION NO. 633",Stipulated,WON,,2015-01-20,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-141445,"ELAD INDUSTRIAL INSULATION, INC.",RC,SHARON,MA,2014-12-29,7.0,2.0,4.0,"INTERNATIONAL ASSOCIATION OF HEAT AND FROST INSULATORS AND ASBESTOS WORKERS LOCAL NO. 6,
AFL-CIO",Stipulated,WON,,2015-01-26,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-141995,BENTLEY UNIVERSITY,RC,WALTHAM,MA,2015-02-25,229.0,42.0,108.0,SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 509,Stipulated,WON,,2015-03-09,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-142086,DPI DEDICATED LOGISTICS - BOSTON,RC,CANTON,MA,2015-01-14,44.0,5.0,37.0,INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL UNION #25,Stipulated,WON,,2015-01-29,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-142234,TRUSTEES OF TUFTS COLLEGE,RC,Boston,MA,2015-01-29,94.0,24.0,52.0,SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 509,Stipulated,WON,,2015-02-23,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-142276,"NASHOBA VALLEY MEDICAL CENTER, a STEWARD FAMILY HOSPITAL",RC,AYER,MA,2015-01-07,38.0,6.0,15.0,1199SEIU UNITED HEALTHCARE WORKERS EAST,Stipulated,WON,,2015-01-21,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-142281,"NASHOBA VALLEY MEDICAL CENTER, a STEWARD FAMILY HOSPITAL",RC,AYER,MA,2015-01-07,131.0,11.0,51.0,1199SEIU UNITED HEALTH CARE WORKERS EAST,Stipulated,WON,,2015-01-21,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-142362,"NASHOBA VALLEY MEDICAL CENTER, a STEWARD FAMILY HOSPTIAL",RC,AYER,MA,2015-01-07,0.0,0.0,3.0,"AREA TRADES COUNCIL - IUOE LOCAL 877, IBEW LOCAL 103, PLUMBERS UNION LOCAL 12, PAINTERS DISTRICT COU",Stipulated,WON,,2015-01-21,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-142827,"CMC MAINTENANCE, INC.",RC,BANGOR,ME,2015-01-21,13.0,3.0,1.0,"TEAMSTERS UNION LOCAL 340, A/W INTERNATIONAL BROTHERHOOD OF TEAMSTERS, AFL-CIO",Stipulated,,LOSS,2015-02-25,Certification of Results,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-143134,"HEALTHCARE SERVICES GROUP, INC.",RC,VERNON,CT,2015-01-29,13.0,1.0,10.0,1199SEIU UNITED HEALTHCARE WORKERS EAST,Stipulated,WON,,2015-02-12,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-144574,"COSTA FRUIT & PRODUCE, INC.",RC,BOSTON,MA,2015-02-27,4.0,2.0,2.0,"TEAMSTERS LOCAL 25, A/W INTERNATIONAL BROTHERHOOD OF TEAMSTERS		",Stipulated,,LOSS,2015-06-09,Certification of,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-144611,SHAW'S/ STAR MARKET A DIVISION OF ALBERTSON'S D/B/A OSCO PHARMACY,RC,WATERVILLE,ME,2015-04-08,20.0,7.0,11.0,INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL NO. 340,Directed,WON,,2015-05-08,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-145268,"TIME WARNER CABLE NORTHEAST, LLC",RC,PITTSFIELD,MA,2015-08-13,28.0,10.0,14.0,INTERNATIONAL BROTHERHOOD OF ELECTRICIAL WORKERS LOCAL 2324 AFL-CIO,Stipulated,WON,,2015-08-24,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-145829,"DANIELE, INC.",RC,PASCOAG,RI,2015-03-17,23.0,7.0,15.0,INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 251,Stipulated,WON,,2015-03-30,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-145840,HBC MANAGEMENT (HANA GROUP),RC,CHARLESTOWN,MA,2015-03-17,20.0,0.0,15.0,"International Union, Security, Police and Fire Professionals of America (SPFPA)",Consent,WON,,2015-03-30,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-146295,"PIERCE REFRIGERATION, INC.",RC,WEST BRIDGEWATER,MA,2015-03-25,20.0,8.0,11.0,"UNITED ASSOCIATION OF PLUMBERS, PIPEFITTERS, SPRINKLER FITTERS AND HVAC TECHNICIANS LOCAL UNION 537",Stipulated,WON,,2015-05-21,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-146464,"NCS WIRELESS, LLC",RC,MIDDLEBORO,MA,2015-03-25,10.0,5.0,5.0,"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 223, AFL-CIO",Stipulated,,LOSS,2015-04-06,Certification of Results,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-147004,UNIVERSAL PROTECTION SERVICE,RC,TAUNTON,MA,2015-04-04,13.0,1.0,10.0,"UNITED FEDERATION OF SPECIAL POLICE & SECURITY OFFICERS, INC.",Stipulated,WON,,2015-07-30,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-147033,WMUR-TV HEARST PROPERTIES INC.,RC,MANCHESTER,NH,2015-04-06,20.0,4.0,15.0,"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS, LOCAL 1228",Stipulated,WON,,2015-04-17,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-147084,Costa Fruit & Produce,RC,BOSTON,MA,2015-04-09,4.0,0.0,4.0,INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL UNION 25,Stipulated,WON,,2015-04-20,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-147842,"Prospect CharterCARE, LLC dba Charter Care Health Partners OUR LADY OF FATIMA HOSPITAL",RC,NORTH PROVIDENCE,RI,2015-04-21,393.0,76.0,221.0,UNITED NURSES AND ALLIED PROFESSIONALS,Stipulated,WON,,2015-05-04,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-148184,"ROSEV DAIRY FOODS, INC.",RC,CHELSEA,MA,2015-05-14,23.0,8.0,14.0,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS, LOCAL 25",Directed,WON,,2015-05-26,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-148228,LESLEY UNIVERSITY,RC,CAMBRIDGE,MA,2015-05-05,159.0,56.0,81.0,SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 509,Directed,WON,,2015-06-01,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-148539,"LIBERTY BAKERY KITCHEN, INC.",RC,BROCKTON,MA,2015-04-27,16.0,7.0,8.0,INTERNATIONAL BROTHERHOOD OF TEAMSTERS UNION LOCAL 653,Stipulated,WON,,2015-05-08,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-148561,SOUTHCOAST VNA,RC,Fairhaven,MA,2015-04-29,7.0,1.0,5.0,SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 1199,Stipulated,WON,,2015-05-11,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-148755,"PINETREE
POWER-FITCHBURG, INC.",RC,WESTMINSTER,MA,2015-04-30,16.0,10.0,5.0,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 455,Stipulated,,LOSS,2015-04-30,Certification of Results,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-149009,SAINT VINCENT HOSPITAL,RC,WORCHESTER,MA,2015-04-29,181.0,40.0,130.0,INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 170,Stipulated,WON,,2015-05-11,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-149176,"FIRST STUDENT, INC.",RC,Pawtucket,RI,2015-05-05,1.0,0.0,1.0,INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 251,Stipulated,WON,,2015-06-01,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-149914,"DTZ, Inc.",RC,CAMBRIDGE,MA,2015-05-13,12.0,3.0,9.0,"AREA TRADES COUNCIL A/W INTERNATIONAL UNION OF OPERATING ENGINEERS, LOCAL 877, INTERNATIONAL BROTHER",Stipulated,WON,,2015-05-26,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-150713,"CRYSTAL MOTOR EXPRESS, INC.",RC,LYNNFIELD,MA,2015-05-28,55.0,19.0,31.0,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS, LOCAL 42",Stipulated,WON,,2015-06-09,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-150809,"Healthcare Services Group, Inc.",RC,East Bridgewater,MA,2015-05-22,10.0,0.0,7.0,1199SEIU UNITED HEALTHCARE WORKERS EAST,Stipulated,WON,,2015-06-08,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-151218,"ARAMARK EDUCATIONAL SERVICES, LLC",RC,LINCOLN,RI,2015-05-21,25.0,9.0,17.0,"AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES RI COUNCIL 94, AFL-CIO",Stipulated,WON,,2015-06-08,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-151620,"BOSTON PIPE & FITTINGS CO., INC.",RC,SOMERVILLE,MA,2015-05-29,8.0,1.0,7.0,INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL UNION NO. 25,Stipulated,WON,,2015-06-09,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-151899,"S.M. LORUSSO & SONS, INC.",RC,West Roxbury,MA,2015-06-02,8.0,1.0,4.0,"INTERNATIONAL UNION OF OPERATING ENGINEERS, LOCAL 4, AFL-CIO",Stipulated,WON,,2015-06-11,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-151938,"Medical Resources Home Health, Corp.",RC,Boston,MA,2015-06-30,236.0,93.0,103.0,1199SEIU UNITED HEALTH CARE WORKERS EAST,Stipulated,WON,,2015-07-09,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-152774,UNO FOODS INC.,RC,BROCKTON,MA,2015-06-18,90.0,24.0,53.0,INTERNATIONAL BROTHERHOOD OF TEAMSTERS UNION LOCAL 653,Stipulated,WON,,2015-06-29,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-153228,Chestnut Health and Rehabilitation Group d/b/a Country Gardens Skilled Nursing and Rehabilitation Ce,RC,Swansea,MA,2015-06-26,7.0,0.0,6.0,"NEW ENGLAND HEALTHCARE EMPLOYEES UNION, DISTRICT 1199, SEIU",Stipulated,WON,,2015-07-07,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-154159,"MASSACHUSETTS WASTE SYSTEMS, INC. and MA WASTE
SYSTEMS LLC, operating as a single employer",RC,HANOVER,MA,2015-07-08,27.0,15.0,12.0,INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL UNION 25,Stipulated,,LOSS,2015-07-16,Certification of Results,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-154198,EVERSOURCE ENERGY SERVICE COMPANY,RC,Manchester,NH,2015-07-08,130.0,64.0,60.0,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 1837,Stipulated,,LOSS,2015-07-16,Certification of Results,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-154921,"UNTED EMS WORKERS, AFSCME LOCAL 4911",RC,BOSTON,MA,2015-08-07,7.0,0.0,5.0,UNITED FOR STRENGTH STAFF UNION,Stipulated,WON,,2015-08-12,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-155211,"Hanover Consumer Cooperative Society, Inc. d/b/a Lebanon Co-op Food Store",RC,Lebanon,NH,2015-07-27,122.0,70.0,31.0,"UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION LOCAL 1459, AFL-CIO, CLC",Stipulated,,LOSS,2015-08-04,Certification of Results,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-155542,"DURHAM SCHOOL SERVICES, L.P.",RC,EAST FREETOWN,MA,2015-07-31,2.0,0.0,2.0,"UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION LOCAL 1459, AFL-CIO, CLC",Stipulated,WON,,2015-08-10,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-155717,FIRST STUDENT INC.,RC,WARREN,RI,2015-07-29,6.0,1.0,5.0,INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 251,Stipulated,WON,,2015-08-07,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
"01, 34",01-RC-158243,ANGELICA TEXTILE SERVICES,RC,Somerville,MA,2015-09-11,14.0,0.0,12.0,INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL UNION NO. 25,Stipulated,WON,,2015-09-21,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
2,02-RC-101402,Mrs. Greens Natural Market,RC,Mt. Kisco,NY,2013-05-03,34.0,18.0,14.0,UFCW LOCAL 1500,Stipulated,,LOSS,2014-11-18,Certification of Results,,,,,,,,,,,,,,,,,,,,,
2,02-RC-110498,Universal Protection Service,RC,NEW YORK,NY,2013-09-13,167.0,13.0,38.0,FEDERAL CONTRACT GUARDS OF AMERICA (FCGOA) INTERNATIONAL UNION,Stipulated,WON,,2015-03-03,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
2,02-RC-131631,"MCI COMMUNICATIONS SERVICES, INC.",RC,Basking Ridge,NJ,2014-08-19,7.0,5.0,2.0,COMMUNICATIONS WORKERS OF AMERICA,Stipulated,,LOSS,2014-11-07,Certification of Results,,,,,,,,,,,,,,,,,,,,,
2,02-RC-132024,MONROE FREE LIBRARY,RC,monroe,NY,2014-09-24,13.0,0.0,11.0,COMMUNICATION WORKERS OF AMERICA,Directed,WON,,2014-10-02,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
2,02-RC-135078,PRB REALTY,RC,Bronx,NY,2014-09-24,12.0,0.0,11.0,"UNITED Snited Service Employees Union Local 377 RWDSU, UFCW",Stipulated,WON,,2014-10-02,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
2,02-RC-135487,All COUNTY BUS LLC,RC,Yonkers,NY,2015-01-16,362.0,185.0,125.0,AMALGAMATED TRANSIT UNION LOCAL 1181,Stipulated,,LOSS,2015-01-26,Certification of Results,,,,,,,,,,,,,,,,,,,,,
2,02-RC-136187,"Active Sports Club, LLC",RC,New York,NY,2014-12-10,17.0,9.0,7.0,"United Federation of Teachers (UFT), Local 2, New York State United Teachers (NYSUT), AFT",Directed,,LOSS,2014-12-18,Certification of Results,,,,,,,,,,,,,,,,,,,,,
2,02-RC-136727,SUBURBAN PROPANE LP,RC,Mt. Kisco,NY,2014-10-24,9.0,8.0,1.0,"LOCAL 456, INTERNATIONAL BROTHERHOOD OF TEAMSTERS",Stipulated,,LOSS,2014-11-03,Certification of Results,,,,,,,,,,,,,,,,,,,,,
2,02-RC-137525,NORTH E GROUP INC.,RC,NEW YORK,NY,2014-11-06,4.0,2.0,2.0,"HIGHWAY, ROAD, AND STREET CONSTRUCTION LABORERS, LOCAL 1010",Stipulated,,LOSS,2014-11-14,Certification of Results,,,,,,,,,,,,,,,,,,,,,
2,02-RC-138071,GTECH CORPORATION,RC,BRONX,NY,2014-11-14,28.0,9.0,18.0,COMMUNICATION WORKERS OF AMERICA LOCAL 1101,Stipulated,WON,,2014-11-24,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
2,02-RC-138582,Sarah Lawrence College,RC,NY,NY,2014-11-21,12.0,1.0,11.0,INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL 30,Stipulated,WON,,2014-12-01,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
2,02-RC-138598,136 Ludlow Realty Corp.,RC,NY,NY,2014-11-06,11.0,9.0,0.0,"AMALGAMATED INDUSTRIAL AND TOY & NOVELTY WORKERS OF AMERICA, LOCAL 223",Stipulated,,LOSS,2014-11-14,Certification of Results,,,,,,,,,,,,,,,,,,,,,
2,02-RC-138637,Stout NYC,RC,NY,NY,2014-11-21,23.0,7.0,16.0,United Service Workers Union Local 811,Stipulated,WON,,2014-12-01,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
2,02-RC-139302,U.S. Security Associates,RC,NY,NY,2014-12-03,34.0,3.0,14.0,"LOCAL 642, SECURITY ALLIANCE OF FEDERATED EMPLOYEES UNION",Stipulated,WON,,2014-12-30,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
2,02-RC-140108,Edwin Gould Services for Children & Families,RC,Mt. Vernon,NY,2014-12-04,28.0,11.0,8.0,"District Council 1707, AFSCME, AFL-CIO",Stipulated,,LOSS,2014-12-12,Certification of Results,,,,,,,,,,,,,,,,,,,,,
2,02-RC-140992,"ElderServe-Licensed Home Care Services Agency, Inc.",RC,NY,NY,,336.0,14.0,155.0,1199SEIU United Healthcare Workers East,Stipulated,WON,,2015-01-26,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
2,02-RC-142177,Nyack Hospital,RC,NYACK,NY,2015-01-15,20.0,0.0,20.0,1199SEIU United Healthcare Workers East,Directed,WON,,2015-01-23,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
2,02-RC-142178,The New York Eye and Ear Infirmary,RC,New York,NY,2015-01-15,29.0,19.0,10.0,LOCAL ONE SECURITY OFFICERS UNION,Directed,,LOSS,2015-01-30,Certification of Results,,,,,,,,,,,,,,,,,,,,,
