id,text,Diagnostic,Prognostic,Motivational,Community,Engagement,Political Endorsement
1074064194265780,"AFSCME Sec.-Treas. <redacted_mention> was reelected to a second term on Thursday with 912,547 votes. “I’m humbled by this honor, and I look forward to working with President Saunders to continue the progress we've made over the last four years,” Reyes said.

International Vice Presidents were also elected. Results of contested elections on the blog: 

California District: Alan Shanahan, Kathryn Lybarger
Capital District: Glenard S. Middleton Sr.
Central District: Steven Quick
CSEA District: Danny Donohue, Nick LaMorte, Mary Sullivan
Eastern District: Mattie Harrell
Hawaii District: Randy Perreira
Illinois District: Roberta Lynch, Michael Newman
Michigan District: Lawrence A. Roehrig
Midwestern District: Danny J. Homan
New York City District: Henry Garrido, Anthony Wells
New York State District: Victoria Mitchell
North Central District: Eliot Seide
No. New England District: Frank Moroney
Northwestern District: Stacy Chamberlain, Greg Devereux
NUHHCE District: Denise Duncan, Henry Nicholas
OAPSE District: Joseph P. Rugola
OCSEA District: Chris Mabe
Ohio District: John A. Lyall
Pennsylvania District: Richard Caponi, David Fillman
Puerto Rico District: Braulio Torres
So. New England District: Salvatore Luciano
Southeastern District: CeeCee Brown
Southwestern District: Connie Derr
UDW District: Doug Moore, Johanna Puno Hester
Wisconsin District: Paul Spink",0,0,0,1,0,0
5.74758E+14,"""The decision at the end of the 2017 Term in Janus v. AFSCME, Council 31, overruling Abood v. Detroit Board of Education is a signal example of what conservative judging is not."" Charles Fried, Harvard Law Review",0,0,0,0,0,0
8555600467850400,"It's today - the Working People's Day of Action! Will you be there?
It's not too late to find an event near you at www.afscme.org/dayofaction.",0,0,1,1,0,0
8.69153E+14,THANK YOU!,0,0,0,0,0,0
1008068991092780,Nothing about us without us.,0,0,0,1,0,0
1077737116748910,Members of AFSCME Maryland Council 3 who work for Maryland’s public universities are demanding better treatment and a fair contract from the University System of Maryland (USM).,1,0,0,0,0,0
8.9261E+14,"Puerto Rico’s financial crisis threatens public service workers’ jobs and the retirement security of those workers and retirees. Many of them are represented by <redacted_mention> and its retiree chapter. Steve Kreisberg, AFSCME’s director of research and collective bargaining services, says the commonwealth should not pay off bondholders with money that should be saved to shore up pensions and prevent layoffs.",1,1,0,0,0,0
4.1619E+14,"“More than 7 million U.S. families needlessly have faced what the Trumps now face. If the most powerful people in the country can contract this disease, then anyone can. Only by trusting and looking out for one another can we finally defeat this pandemic.” – AFSCME President Lee Saunders, responding to news that President Trump and first lady Melania Trump both have COVID-19.",1,1,0,1,0,0
5.2794E+14,"Economists agree: we have to invest in public service workers and the public services we provide. This report from the Economic Policy Institute shows there is a lot of money from the #AmericanRescuePlan that can benefit working families and communities, if only state and local policymakers will invest it. This is one of the best ways to create a more fair and equitable economy for everyone.",1,1,0,0,0,0
1048510953640760,"Check to see what action, if any, you need to take in order to receive your federal stimulus payment ⤵️",0,0,1,0,0,0
1221719882439660,"Voter suppression laws have been set back in North Carolina, Wisconsin and Kansas. This is on the heels of a similar law struck down in Texas. Laws that disproportionately suppress the votes of African Americans, the elderly and the poor are shameful. Make no mistake, this is not about preventing (practically non-existent) voter fraud. It is about making it much harder for Americans to exercise their Constitutional right to vote.",1,0,0,0,0,0
1107599284297420,"During EMS week, let’s show our appreciation for emergency response workers who are always on the front lines.",0,0,1,1,0,0
5.34998E+14,"In his new “On The Record” video, AFSCME President Lee Saunders makes the case for Joe Biden for president, a leader who understands in his gut the challenges working people face every day, a man of character whose compassion and decency will help heal the country at this challenging moment.",0,0,0,0,0,1
1591016041536900,Over 225 AFSCME volunteer member organizers gathered in Denver for the 2023 Organizing Summit. They learned about the power of organizing and went door-to-door to talk to Colorado county workers about union benefits.,0,0,0,1,0,0
2288184958200660,"In ratifying a landmark new contract, 2,000 AFSCME Council 5 corrections officers aim to fix the corrections staffing crisis in that state, making corrections a career, not just a job.",1,1,0,0,0,0
8.94313E+14,"AFSCME members have rushed to the front lines of this pandemic. Your work will get America through this.

No one can thank you enough for the risks you take and the sacrifices you make.

But know this, as you fight to keep your communities safe and healthy: AFSCME is fighting for you.

Learn more at ",1,1,0,1,0,0
5.61362E+14,"""This could be the beginning of the end of gerrymandering, if this decision survives.""",1,0,0,0,0,0
1299244521434060,"“We are demanding that the Department of Corrections meet with us to discuss this health and safety crisis before someone gets killed,” said AFSCME Iowa Council 61 Pres. Danny Homan, after an attack on Wednesday in which a correctional officer was stabbed five times. Another correctional officer was attacked just days earlier.",1,0,0,0,0,0
1241548217057340,"“If I were a Freedom Foundation donor, I’d ask for a refund.”",0,0,0,0,0,0
5.73024E+14,"Retirees from Rhode Island and Massachusetts attended the White House Conference on Aging at the Edward Kennedy Institute in Boston this morning and were thrilled to hear Senator Elizabeth Warren give a rousing speech outlining the importance of saving Social Security for all. (cc: <redacted_mention>, AFSCME Council 93 & RI Council 94)",1,0,0,1,0,0
1027736729102940,"AFSCME retirees are mobilized and ready to vote for Joe Biden. Hear from them about why they’re casting their vote for Biden in this election, about the issues that matter to them, and why the stakes couldn’t be higher.",0,0,0,0,0,1
5.09874E+14,"""Home ownership is an underpinning of the American Dream. I was able to enjoy a middle class lifestyle in part because I am a union member and a homeowner. Now that I’m retired, I depend on my pension. I support Hillary Clinton because she understands that connection between unions and the middle class. She’ll do the things we need to do to have a strong middle class America. Hillary will protect my pension.""",1,0,0,0,0,1
1088382075523780,It’s not too late to make a plan! Make a plan and go vote! Find your polling location at ,0,0,1,0,0,0
1569433723668940,"Yet another reason why we need unions:

“The rich keep getting richer while more Americans are getting left behind financially. Income inequality has surged near levels last seen before the Great Depression. The average income for the top 1 percent of households climbed 7.7 percent last year to $1.36 million, according to tax data tracked by Emmanuel Saez, an economics professor at the University of California, Berkeley. That privileged sliver of the population saw pay climb at almost twice the rate of income growth for the other 99 percent, whose pay averaged a humble $48,768.”",1,1,0,0,0,0
2794421500739230,"President Lee Saunders joins Senator Elizabeth Warren, Senate Majority Leader Chuck Schumer, Congresswoman Ayanna Pressley, labor leaders, and union members for a roundtable discussion on the importance of student debt cancellation for American workers.",1,0,0,1,0,0
8732406423483940,"Avast, me hearties! Happy Talk Like A Pirate Day from AFSCME and Petunia Pug. #TalkLikeAPirateDay",0,0,0,0,1,0
1211979953430120,"""The passage of HB 4045 is what happens when workers who have been physically and mentally drained by harsh working conditions come together and fight for change.” – Joe Baessler, executive director of Oregon AFSCME.",1,1,0,0,0,0
3781728938809200,AFSCME staff sang in honor of Marty Beil's tireless championing of workers' rights. We #PledgeforMarty.,0,0,0,1,0,0
1281170766399230,"Lin-Manuel Miranda and the stars of Hamilton, along with some special guests, explain why you should vote. #Ham4Vote",0,0,1,0,0,0
5.31302E+14,"On this #PresidentsDay, we honor some of our country's great leaders, like our 26th President Theodore Roosevelt. ",0,0,0,1,0,0
1076232787413320,"Starting this weekend, healthcare workers in California will face the same challenges they do every day. But there will be one difference that ultimately could save lives – their own.",0,0,0,1,0,0
5.40285E+14,This list of Donald Trump's #FirstSevenJobs doesn't look like the type of experience that would qualify someone to be President of the United States. What do you think?,0,0,0,0,1,0
1223718982176030,"Are you a student who believes in the power of organizing, in defending workers’ rights and supporting public services? If so, then you may be eligible to win a $5,000 Gerald McEntee Scholarship. The deadline is January 31.",0,0,0,0,1,0
5.18433E+14,"After years of confronting a rigged system and a brutal pandemic, public service workers are mobilizing ahead of this November’s elections to continue improving the lives of our families and communities. All the progress we fought for over the past two years – and even our very rights and freedoms – are under attack. This November, the choice is clear. Learn more about the progress we’ve made and how we can protect and expand it: ",1,1,0,1,0,0
5.60732E+14,📣Nothing for us or about us without us! The only way we can safely begin to get back to our new normal is by funding our front line workers so they have what they need to stay safe on the job. Tell the Senate to fund the front lines NOW: ,1,1,1,1,0,0
1823587735048010,Labor Secretary Tom Perez knows low-wage employers can and should pay their workers more. Text RAISE to 237263 to join the fight to get Congress to #RaiseTheWage for all low-wage workers.,1,1,1,0,0,0
8.59702E+14,"Ron Bieber, president of the Michigan AFL-CIO, had a simple message for Donald Trump as the Republican presidential nominee was on his way to Flint: “Less than 60 days before the election and now Donald Trump rolls into town for a photo op. Give me a break. Where the hell have you been?”",0,0,0,0,0,1
5.29318E+14,"Child care workers in California plan to file for a massive union election Wednesday that will cover an estimated 40,000 people, potentially reshaping jobs within the state’s government-funded child care system for low-income families.",1,1,0,0,0,0
9.85219E+14,"Kristin Maybriar (OCSEA) may be just starting her career, but she’s already having an impact at the Ohio Department of Job and Family Services – just like her mother. Kristin is carrying on the legacy of her mother, Kathy Maybriar, who worked at the same agency for 15 years.",0,0,0,1,0,0
8747354688706530,"The experts at Union Plus Mortgage Company are ready to guide you through the home financing process. UPMC is union-owned and was designed with union members and family members in mind. Enjoy an easy and convenient loan application; a wide range of mortgage options, including conventional, FHA, and VA loans and much more. 

Apply now and get a $500 gift card after closing. NMLS Number 1561829. ",0,0,0,0,1,0
1311781453565770,"Every February, a chorus of voices proclaims #BlackHistoryMonth. But the AFT insists we should be talking about Black history every month and every day, especially in our public schools. 

From the AFT’s history of upholding justice within our own ranks and our fight for fair policy at all levels of government, to our rich collection of resources that help educators teach about the history and the contemporary experiences of (in)equity and race, we value and amplify Black history and work toward a more hopeful Black future, all year long.",0,0,0,1,0,0
5.67202E+14,"As we approach #LaborDay, we’re celebrating labor leaders like Rosina Tucker. 

Learn more about her and other leaders who have influenced the labor movement in this country: ",0,0,0,1,0,0
5.21354E+14,"In a national #SenateFail Day of Action on July 8, AFT members and allies across the country protested the U.S. Senate’s decision to go on vacation without passing the HEROES Act, the $3 trillion COVID-19 relief package passed in the House six weeks ago. 

Read all about it here:",1,1,0,1,0,0
1934447053633030,"ICYMI: Senator Ed Markey addressed the AFT convention about education, climate change, and more. #ReclaimOurFuture #IamAFT",0,0,0,1,0,0
1082348883482130,"Sugary diets. Traffic patterns. Capitalism. Democracy. So much of our culture has deep ties to the history of enslavement, yet these connections are rarely taught in public school systems.",1,0,0,0,0,0
1261491358425710,"April is #ArabAmericanHeritageMonth! We recognize and celebrate the contributions made by Arab Americans and their culture and heritage.

Use these @sharemylesson resources to teach, learn and celebrate this month: ",0,0,0,0,1,0
1040325647848220,"Delaware, are you ready to vote? Not sure? Check your voter registration status right now: ",0,0,1,0,0,0
5.31142E+14,"""Some of education’s biggest problems come with its littlest students. At a working breakfast for paraprofessionals in prekindergarten, early childhood and Head Start, members swapped strategies for solving problems. Their discussion came during the AFT PSRP conference last week in Las Vegas, where paras from all over the country zeroed in on professional development and adequate classroom coverage.""",1,0,0,1,0,0
1567238747242750,"The personal impact of the student debt crisis came to light at the AFT’s town hall May 25, with two members sharing how this national crisis has limited their lives’ trajectory, and how the solutions offered by leading policymakers could make all the difference for them. 

U.S. Senator Elizabeth Warren, who has been a leader in the fight for $50,000 of student debt relief, was included on the call.",1,0,0,1,0,0
4.173E+14,"We just launched an ad campaign to hold President Trump accountable for his failure to protect healthcare workers and other personnel, after he bizarrely suggested nurses were stealing personal protective equipment while declining to provide #PPE himself.

Learn more:",1,0,0,0,0,1
4.79146E+14,"President Biden and Congress laid out the historic, once-in-a-generation investments where we need it most with the Infrastructure Investment and Jobs Act and the Build Back Better Act. Now it’s up to us to get it across the finish line. Tell your lawmaker: Pass both the Infrastructure Investment and Jobs Act and the Build Back Better Act.",0,0,1,1,0,0
9.30173E+14,"The new Fall 2019 issue of American Educator focuses on the issues of race, ethnicity, and identity, and how we can combat bias in our schools. 

Whether confronting intolerance or encouraging inclusion, teachers and the role they play  in schools are more critical than ever. 

Given the rise in racist, anti-immigrant, and hateful rhetoric infecting the public discourse, classroom conversations on responding to prejudice and protecting our democracy are of the utmost importance. 

Read the latest issue here:",1,1,0,0,0,0
1394472681511640,"Christopher Emdin took educators to church during his AFT TEACH plenary speech last Friday, delivering a fiery speech that gave his audience insight into how they could best reach all of their students.",0,0,0,1,0,0
4.33332E+14,"Have questions about the #COVID19 vaccine? We've got answers. Click the link below to RSVP for our COVID-19 vaccine town hall this Tuesday, Jan. 12 at 6 p.m. ET.",0,0,0,0,1,0
2376384972753880,"For the 3rd day in a row, President Joe Biden has signed executive orders to help everyday Americans. Thank you, Mr. President.",0,0,0,0,0,1
9.59121E+14,"“Gun violence is a threat to all of us, but access to guns, combined with elected leaders who create an environment that pretends racism doesn’t exist, creates a precarious situation for communities of color and others who are the target of violence and vitriol. It’s far past time to ban assault weapons and continue the real work to educate our neighbors and heal the divisions at the heart of this hatred.”",1,1,0,0,0,0
8.69087E+14,"""Whether you’re a classroom teacher, a school psychologist, a pediatrician, a state legislator, or a parent, grandparent, aunt or uncle, this American Educator will help you connect the research with the practical skills to help any child in your life learn to read well. Developing strong readers happens at home and at school; given how worried parents are about the effects of pandemic-related learning loss, we’re helping them be their kids’ first teachers, plus giving them concrete ways to work with their kids’ classroom teachers to foster the next generation’s love of reading, and to do it with confidence.""",0,0,0,0,1,0
1758492088302120,"Millions of U.S. workers are exposed to heat in their workplaces. Although illness from exposure to heat is preventable, every year, thousands become sick from occupational heat exposure, and some cases are fatal. Hazardous heat exposure can occur indoors or outdoors, and can occur during any season if the conditions are right, not only during heat waves.",1,0,0,0,0,0
9.66132E+14,"We only have 7 days until Election Day. That means we have 7 days to take action and get out the vote for pro-education, pro-healthcare, pro-worker candidates like Joe Biden & Kamala Harris.

Download the AFT Votes app from the App Store or Google Play store. On the app, you'll find ways to get signed up for phone banking and text banking, and find resources for voting in your state. Download it today!",0,0,1,0,0,1
7.73858E+14,"We had an excellent first day at our AFT Convention! Check out this video of all we've accomplished together, and check out aft.org/convention for more.",0,0,0,1,0,0
1197557544649430,AFT President Randi Weingarten joined former Education Secretary Arne Duncan on MSNBC's All In with Chris Hayes to talk about how schools are reopening as the Coronavirus pandemic continues.,0,0,0,1,0,0
2838440466333760,"""Teacher unions in Oklahoma and other walkout states, including Arizona, Kentucky and West Virginia, all report increases in membership since the demonstrations, and many are busy recruiting political candidates for 2020.""",0,0,0,1,0,0
1996523424125650,"As our country reels from two mass shootings within the span of 10 days, the American Federation of Teachers (AFT) and National Education Association (NEA) convenes parents, educators, student survivors, activists and community leaders in Texas to discuss how we keep our children safe, all while the National Rifle Association hosts its 2022 convention set on protecting the profits of the gun industry.",1,0,0,1,0,0
5.32868E+14,ICYMI: New York State Public Employees Federation AFL CIO member Amy Pacholk talked to MSNBC about the challenges facing healthcare workers as they fight COVID-19.,1,0,0,1,0,0
1249644126326690,"""I’m proud to be part of a school system that strives to care for and serve all of its students and that has robust labor-management cooperation.""",0,0,0,1,0,0
5.25461E+14,"Senator Patty Murray joins parents, teachers and students opposed to Betsy DeVos' nomination",0,0,0,1,0,0
4.81101E+14,"The Great Recession helped push student debt passed $1.5 trillion, up from about $671 billion at the beginning of 2008.",1,0,0,0,0,0
1820784465117510,"""My name is Areli Zarate and I am a high school teacher in Austin, Texas and a proud member of Education Austin.
I came here today to tell you my story because it is the story of millions of others, who like me, call this country home. It is a painful story of sacrifice, struggle, dreams and fear.
And like those millions of others, I want the people who are making the decisions that determine our lives to understand that we are people too. People with dreams and families and livelihoods and real ties to our communities.
We are part of the fabric of America.
As a teacher, I work every day to give my students the best I can. But I know I can’t expect them to focus on what we’re doing in school when they are stressed and anxious about their families and their future. I know because I was in their shoes, my status now is only temporary, I need Congress to act on a permanent solution and pass immigration reform. 
I am here as a teacher, a daughter, a caregiver for my students and as someone who calls this country home.
I am here for the millions who want nothing more than to walk out of the shadows and into a future built on the promise of an America that breaks down barriers instead of building walls."" - Areli Zarate, a DACA-mented high school teacher from Austin, Texas who spoke at a press conference in DC today about what's at stake with US v. TEXAS",1,0,0,1,0,0
5.71819E+14,"Teachers, students, and communities deserve these #RealSolutionsForKids & Communities to make sure everyone can thrive.",0,0,0,1,0,0
3346257878842960,"This #LaborDay, show your support for unions.",0,0,1,1,0,0
1295277808322630,Great op-ed from Texas AFT and Houston Federation of Teachers President Zeph Capo about the proposed state takeover of HISD.,0,0,0,1,0,0
1285719669446970,"Every Thursday this month at 7 PM ET, AFT Higher Education is hosting a student debt clinic to help our members navigate their student debt. If you have questions about repayment plans, #PSLF, or how to save with Summer, get registered to learn more. 

Register: ",1,1,0,0,1,0
1110345293839380,"Thank you, President Joe Biden.",0,0,0,0,0,1
9.91709E+14,"Welcome to Houston! 

AFT members gathered this morning to preserve history at Freedmen’s Town, a once-thriving community in Houston founded by formerly enslaved families that has faced decades of deterioration.

This afternoon, the mood was upbeat, joyful and full of hope at the Community Fair and Together We Rise Citizenship Clinic. The event, sponsored by the AFT, Texas AFT, Texas AFL-CIO and AFT locals from the Houston area, featured health screenings, a job fair plus games, food and a book giveaway for families. There was also legal assistance for people preparing to apply for U.S. citizenship.

Later, a panel discussion hosted by Texas AFT at the AFT convention in Houston addressed the negative impacts of voucher programs. The discussion highlighted how these programs detract from student learning and divert essential resources away from public schools, despite claims to the contrary.",1,1,0,1,0,1
4.2588E+14,Big news from New Hampshire!,0,0,0,0,0,0
1689763108473220,"Today's the day, Georgia! Make sure to mask up, wash your hands, and get to the polls to vote for Reverend Raphael Warnock and Jon Ossoff today. 

If you have an absentee ballot, DO NOT mail it. Drop it in a drop box today. If you are voting in person, stay in line for as long as it takes to vote. 

If you experience trouble voting, contact the Georgia voter protection hotline at 866-OUR-VOTE, or 888-730-5816.

For more information on polling places, times, and more, visit ",0,0,1,0,0,0
1692166984894900,"Reimagining public education is remaking our schools into leaders of environmental sustainability. AFT President Randi Weingarten joined Aspen Institute’s K12 Climate Action for a tour of Alice West Fleet Elementary School in Arlington, VA – a net zero energy school that is not only improving the environment but enriching their students’ education.",0,0,0,1,0,0
1207017433857150,"After 5 years of frozen salaries without a contract, Scranton teachers and paras ""Hold the Line"" during a 12 day strike and won. The community rallied around teachers having witnessed austerity dismantle their schools piece by piece. The fight isn't over, but this is a significant victory in rebuilding public education in Scranton. Congratulations, Scranton Federation of Teachers Local 1147!",1,1,0,1,0,0
8.99974E+14,"AFT President Randi Weingarten says career and technical education (CTE) is where “we take tinkerers and they become critical thinkers. We take passion and meet purpose, and kids thrive.” Read about the discussion we hosted along with XQ America.

",0,0,0,0,1,0
1067922375118150,"Join us on June 22nd, 2021 at 6PM ET for the global livestream of Care Can't Wait: Family Meeting. Congressional members and influencers sit down with people from across America to have intimate conversations about how their daily lives, challenges and hopes for the future are intertwined with the need for care infrastructure.",1,0,0,0,1,0
4.35322E+14,"Happy #LunarNewYear from AFT! To celebrate the start of the Year of the Ox, check out Share My Lesson's  curated collection of free resources and activities on celebrating Asian-Pacific American Heritage.",0,0,0,0,1,0
8.34162E+14,"Ruxandra Westra arrived in the United States just months before the Romanian revolution, and she’d been shaped by the communist regime she’d grown up with—so when she walked into the AFT’s Together We Rise citizenship clinic, she was “like a scared little rabbit,” fearful of authorities and afraid she’d make a mistake. 

But after patient volunteers triple-checked her paperwork and helped her study for the exam and interview, Westra sailed through the process and even got help with the application fees. “I am finally a U.S. citizen,” she says in her AFT Voices post. “I feel like I finally belong.”",0,0,0,1,0,0
2264000614040450,Here's why we shouldn't privatize Medicaid. They've done it in Texas and it serves fewer people while costing more.,1,0,0,0,0,0
1243419990240780,"This new poll gets to the heart of the educator's dilemma, they love their jobs, but austerity in public education has forced them to more with less. Here's the good news: In every place where teachers have voiced their concerns, we’ve seen the public stand squarely behind them. The majority of people surveyed by this USA Today poll said teachers weren’t paid what they’re worth.",1,0,0,0,0,0
9.20861E+14,"""Safety of children and safety of schools is worth having this added protection... This is a really good idea as a way of helping to make sure that a child is not a danger to himself, herself or to others."" - AFT President Randi Weingarten",1,0,0,0,0,0
1063404961557330,"""The attempt to limit inclusivity and pluralism comes out of an autocratic playbook. [It] reflects an effort to limit information that can lead to empathy for people with a worldview that is different from yours."" ",1,0,0,0,0,0
5.7222E+14,"Unions rally in Albany, NY calling on Gov. Hochul and SUNY Chancellor King to halt plans that would close SUNY Downstate Hospital which will eliminate healthcare access from low-income Brooklyn residents.",1,1,0,1,0,0
5.18408E+14,"Dr. Anthony Fauci and AFT President Randi Weingarten discuss COVID pandemic, safely reopening schools and take questions from members.",0,0,0,1,0,0
1601363534141080,House Republicans’ proposed cuts to nutrition assistance would hurt families and kill jobs.,1,0,0,0,0,0
1063668635460830,AG Xavier Becerra is the tested and experienced leader we need to make decisions for the good of the American people and our frontline workers. Urge your Senators to vote YES on the nomination of Xavier Becerra as our next HHS Secretary!   ,0,0,1,0,0,0
5.28553E+14,"“We are not being selfish or greedy. We are taking a stand to take care of ourselves so we can take care of our patients.” — Jamie Okopal, registered nurse and AFT member.

Indiana Registered Nurses Association members have been without a contract since Oct. 2018. They want their hospital to negotiate in good faith. Read more here:",1,1,0,0,0,0
1304111200760970,"""This case impacts my ability to do what's best for my students, my school and my profession."" Pankaj Sharma, Teacher, Skokie, IL",0,0,0,1,0,0
1716434849111540,"PISA 2015 shows education privatization leads to decline or stagnation, while long-term investment in public education leads to improved educational outcomes.",1,1,0,0,0,0
9.2058E+14,"Interested in earning a degree but worried about the cost? The Union Plus Free College Benefit enables union members to earn an associate degree online, completely for free! 

Enroll today – classes start on August 20: ",0,0,0,0,1,0
1624778158393260,FYI: please stay in line!! Call 866-OUR-VOTE to report a problem or ask any questions. #AFTvotes,0,0,1,0,0,0
8.69685E+14,"While every child is unique, several key indicators can demonstrate that a child’s physical, social, and language development are on track to support their literacy and learning in school. 

In this American Educator article, professor Beth M. Phillips shares questions that families of children ages 3 to 5 can ask to gauge children’s language development and ways to increase their language skills for later reading success.",0,0,0,0,1,0
3740004302982620,"As our country grapples with these three urgent crises—of public health, an economic recession, and racial justice—we cannot forfeit our kids’ future. That's why we need the HEROES Act. 

The Senate cannot go on vacation before taking a vote on this lifesaving aid for our communities. Here's how you can take immediate action!",1,1,1,0,0,0
2396446784019810,AFT president Randi Weingarten is vowing to protect members targeted for “teaching honest history” amid GOP efforts to restrict how race and racism is taught and as Fox host Tucker Carlson calls for cameras in the classroom.,1,1,0,1,0,0
4.03423E+14,"AFT President Randi Weingarten went on MSNBC tonight to talk about her recent trip to Ukraine.

""Displaced teachers we met with are trying to build both in-person and online experiences for students. The long-term trauma is going to have a lasting impact on these students.""",0,0,0,1,0,0
1986411318446000,"""The supreme court’s approval ratings have fallen to a record low...One easy step the court can take to begin an effort to regain respect and popularity would be to be stop ruling so often in favor of multibillion corporations and instead side with workers, eg typical Americans – and with labor unions, institutions that fight to improve the lives of average Americans.""",1,1,0,0,0,0
9.23958E+14,ICYMI: AFT President Randi Weingarten spoke with Face The Nation last week about AFT's plans to #ReopenSafely - and what resources will be needed to make it happen. Listen & share!,0,0,0,1,1,0
5.68686E+14,"“To help improve the mental health of LGBTQ+ students like us, teachers must establish their classes as safe spaces, develop systems to routinely check in on students and connect students to the resources they need to maintain their mental health."" 

Read & share more from GLSEN's new report on LGBTQ+ students.",1,1,0,0,1,0
1066921178316800,"Actor and filmmaker Justin Baldoni talks about his favorite teacher. If an educator made a lasting impact on your life, let us know in the comments!",0,0,0,0,1,0
1626653614944910,"The Trump administration announced its plans to weaken the Flores Settlement--the court-ordered protections for children in detention. 

We cannot allow the administration that has failed to reunite hundreds of kids with their families to neglect crucial safety standards for these children. Learn more: ",1,0,0,0,0,0
5.84486E+14,"From Philadelphia and Scranton to Baltimore and Chicago, we’re seeing the impact of decades of neglect of our public schools’ infrastructure. Schools are laden with mold; classrooms operate without heat or air conditioning; ceilings are leaking; and water is contaminated. 

But our members remain on the frontlines, fighting any way they can to make sure their students are in safe and welcoming environments. 

Send a letter to your senators right now urging them to co-sponsor the Rebuild America’s Schools Act and push for its immediate passage:",1,1,1,0,0,0
1714417629333640,"""Inclusion is an end goal that channels universal hopes for meritocracy, reflects America at its best and creates the foundation for an even more competitive future.""",0,0,0,1,0,0
