,Region,Case Number,Case Name,Case Type,City,State,Election Held Date,Number of Eligible Voters,Valid Votes Against,Votes for Labor Org 1,Labor Org 1 Name,"Stipulated
/ Consent
/ Directed",Certification of Representative Date (Win),Certification of Results Date (Loss),Case Closed Date,Closed Reason,Votes for Labor Org 2,Labor Org 2 Name,Union To Certify,Votes for Labor Org 3,Labor Org 3 Name,For Proposition,Against Proposition	,"Stipulated / Consent
/ Directed",Against Proposition,Dispute Unit City,Dispute Unit State,Num Eligible Voters,"Stipulated
/ Consent / Directed",Cert of Rep (Win),Cert of Results (Loss),Closed Date,Votes For Labor Org3,Labor Org3,Stipulated/Consent,Case ID,Stipulated / Consent / Directed
48,"01, 34",01-RC-148539,"LIBERTY BAKERY KITCHEN, INC.",RC,BROCKTON,MA,2015-04-27,16.0,7.0,8.0,international brotherhood of teamsters union local 653,Stipulated,WON,,2015-05-08,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
49,"01, 34",01-RC-148561,SOUTHCOAST VNA,RC,Fairhaven,MA,2015-04-29,7.0,1.0,5.0,service employees international union local 1199,Stipulated,WON,,2015-05-11,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
50,"01, 34",01-RC-148755,"PINETREE
POWER-FITCHBURG, INC.",RC,WESTMINSTER,MA,2015-04-30,16.0,10.0,5.0,international brotherhood of electrical workers local 455,Stipulated,,LOSS,2015-04-30,Certification of Results,,,,,,,,,,,,,,,,,,,,,
51,"01, 34",01-RC-149009,SAINT VINCENT HOSPITAL,RC,WORCHESTER,MA,2015-04-29,181.0,40.0,130.0,international brotherhood of teamsters local 170,Stipulated,WON,,2015-05-11,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
52,"01, 34",01-RC-149176,"FIRST STUDENT, INC.",RC,Pawtucket,RI,2015-05-05,1.0,0.0,1.0,international brotherhood of teamsters local 251,Stipulated,WON,,2015-06-01,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
53,"01, 34",01-RC-149914,"DTZ, Inc.",RC,CAMBRIDGE,MA,2015-05-13,12.0,3.0,9.0,"area trades council a/w international union of operating engineers, local 877, international brother",Stipulated,WON,,2015-05-26,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
54,"01, 34",01-RC-150713,"CRYSTAL MOTOR EXPRESS, INC.",RC,LYNNFIELD,MA,2015-05-28,55.0,19.0,31.0,"international brotherhood of teamsters, local 42",Stipulated,WON,,2015-06-09,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
55,"01, 34",01-RC-150809,"Healthcare Services Group, Inc.",RC,East Bridgewater,MA,2015-05-22,10.0,0.0,7.0,1199seiu united healthcare workers east,Stipulated,WON,,2015-06-08,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
56,"01, 34",01-RC-151218,"ARAMARK EDUCATIONAL SERVICES, LLC",RC,LINCOLN,RI,2015-05-21,25.0,9.0,17.0,"american federation of state, county & municipal employees ri council 94, afl-cio",Stipulated,WON,,2015-06-08,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
57,"01, 34",01-RC-151620,"BOSTON PIPE & FITTINGS CO., INC.",RC,SOMERVILLE,MA,2015-05-29,8.0,1.0,7.0,international brotherhood of teamsters local union no. 25,Stipulated,WON,,2015-06-09,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
58,"01, 34",01-RC-151899,"S.M. LORUSSO & SONS, INC.",RC,West Roxbury,MA,2015-06-02,8.0,1.0,4.0,"international union of operating engineers, local 4, afl-cio",Stipulated,WON,,2015-06-11,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
59,"01, 34",01-RC-151938,"Medical Resources Home Health, Corp.",RC,Boston,MA,2015-06-30,236.0,93.0,103.0,1199seiu united health care workers east,Stipulated,WON,,2015-07-09,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
60,"01, 34",01-RC-152774,UNO FOODS INC.,RC,BROCKTON,MA,2015-06-18,90.0,24.0,53.0,international brotherhood of teamsters union local 653,Stipulated,WON,,2015-06-29,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
61,"01, 34",01-RC-153228,Chestnut Health and Rehabilitation Group d/b/a Country Gardens Skilled Nursing and Rehabilitation Ce,RC,Swansea,MA,2015-06-26,7.0,0.0,6.0,"new england healthcare employees union, district 1199, seiu",Stipulated,WON,,2015-07-07,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
62,"01, 34",01-RC-154159,"MASSACHUSETTS WASTE SYSTEMS, INC. and MA WASTE
SYSTEMS LLC, operating as a single employer",RC,HANOVER,MA,2015-07-08,27.0,15.0,12.0,international brotherhood of teamsters local union 25,Stipulated,,LOSS,2015-07-16,Certification of Results,,,,,,,,,,,,,,,,,,,,,
63,"01, 34",01-RC-154198,EVERSOURCE ENERGY SERVICE COMPANY,RC,Manchester,NH,2015-07-08,130.0,64.0,60.0,international brotherhood of electrical workers local 1837,Stipulated,,LOSS,2015-07-16,Certification of Results,,,,,,,,,,,,,,,,,,,,,
64,"01, 34",01-RC-154921,"UNTED EMS WORKERS, AFSCME LOCAL 4911",RC,BOSTON,MA,2015-08-07,7.0,0.0,5.0,united for strength staff union,Stipulated,WON,,2015-08-12,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
65,"01, 34",01-RC-155211,"Hanover Consumer Cooperative Society, Inc. d/b/a Lebanon Co-op Food Store",RC,Lebanon,NH,2015-07-27,122.0,70.0,31.0,"united food and commercial workers international union local 1459, afl-cio, clc",Stipulated,,LOSS,2015-08-04,Certification of Results,,,,,,,,,,,,,,,,,,,,,
66,"01, 34",01-RC-155542,"DURHAM SCHOOL SERVICES, L.P.",RC,EAST FREETOWN,MA,2015-07-31,2.0,0.0,2.0,"united food and commercial workers international union local 1459, afl-cio, clc",Stipulated,WON,,2015-08-10,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
67,"01, 34",01-RC-155717,FIRST STUDENT INC.,RC,WARREN,RI,2015-07-29,6.0,1.0,5.0,international brotherhood of teamsters local 251,Stipulated,WON,,2015-08-07,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
68,"01, 34",01-RC-158243,ANGELICA TEXTILE SERVICES,RC,Somerville,MA,2015-09-11,14.0,0.0,12.0,international brotherhood of teamsters local union no. 25,Stipulated,WON,,2015-09-21,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
69,2,02-RC-101402,Mrs. Greens Natural Market,RC,Mt. Kisco,NY,2013-05-03,34.0,18.0,14.0,ufcw local 1500,Stipulated,,LOSS,2014-11-18,Certification of Results,,,,,,,,,,,,,,,,,,,,,
70,2,02-RC-110498,Universal Protection Service,RC,NEW YORK,NY,2013-09-13,167.0,13.0,38.0,federal contract guards of america (fcgoa) international union,Stipulated,WON,,2015-03-03,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
71,2,02-RC-131631,"MCI COMMUNICATIONS SERVICES, INC.",RC,Basking Ridge,NJ,2014-08-19,7.0,5.0,2.0,communications workers of america,Stipulated,,LOSS,2014-11-07,Certification of Results,,,,,,,,,,,,,,,,,,,,,
72,2,02-RC-132024,MONROE FREE LIBRARY,RC,monroe,NY,2014-09-24,13.0,0.0,11.0,communication workers of america,Directed,WON,,2014-10-02,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
73,2,02-RC-135078,PRB REALTY,RC,Bronx,NY,2014-09-24,12.0,0.0,11.0,"united snited service employees union local 377 rwdsu, ufcw",Stipulated,WON,,2014-10-02,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
74,2,02-RC-135487,All COUNTY BUS LLC,RC,Yonkers,NY,2015-01-16,362.0,185.0,125.0,amalgamated transit union local 1181,Stipulated,,LOSS,2015-01-26,Certification of Results,,,,,,,,,,,,,,,,,,,,,
75,2,02-RC-136187,"Active Sports Club, LLC",RC,New York,NY,2014-12-10,17.0,9.0,7.0,"united federation of teachers (uft), local 2, new york state united teachers (nysut), aft",Directed,,LOSS,2014-12-18,Certification of Results,,,,,,,,,,,,,,,,,,,,,
76,2,02-RC-136727,SUBURBAN PROPANE LP,RC,Mt. Kisco,NY,2014-10-24,9.0,8.0,1.0,"local 456, international brotherhood of teamsters",Stipulated,,LOSS,2014-11-03,Certification of Results,,,,,,,,,,,,,,,,,,,,,
77,2,02-RC-137525,NORTH E GROUP INC.,RC,NEW YORK,NY,2014-11-06,4.0,2.0,2.0,"highway, road, and street construction laborers, local 1010",Stipulated,,LOSS,2014-11-14,Certification of Results,,,,,,,,,,,,,,,,,,,,,
78,2,02-RC-138071,GTECH CORPORATION,RC,BRONX,NY,2014-11-14,28.0,9.0,18.0,communication workers of america local 1101,Stipulated,WON,,2014-11-24,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
79,2,02-RC-138582,Sarah Lawrence College,RC,NY,NY,2014-11-21,12.0,1.0,11.0,international union of operating engineers local 30,Stipulated,WON,,2014-12-01,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
80,2,02-RC-138598,136 Ludlow Realty Corp.,RC,NY,NY,2014-11-06,11.0,9.0,0.0,"amalgamated industrial and toy & novelty workers of america, local 223",Stipulated,,LOSS,2014-11-14,Certification of Results,,,,,,,,,,,,,,,,,,,,,
81,2,02-RC-138637,Stout NYC,RC,NY,NY,2014-11-21,23.0,7.0,16.0,united service workers union local 811,Stipulated,WON,,2014-12-01,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
82,2,02-RC-139302,U.S. Security Associates,RC,NY,NY,2014-12-03,34.0,3.0,14.0,"local 642, security alliance of federated employees union",Stipulated,WON,,2014-12-30,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
83,2,02-RC-140108,Edwin Gould Services for Children & Families,RC,Mt. Vernon,NY,2014-12-04,28.0,11.0,8.0,"district council 1707, afscme, afl-cio",Stipulated,,LOSS,2014-12-12,Certification of Results,,,,,,,,,,,,,,,,,,,,,
84,2,02-RC-140992,"ElderServe-Licensed Home Care Services Agency, Inc.",RC,NY,NY,,336.0,14.0,155.0,1199seiu united healthcare workers east,Stipulated,WON,,2015-01-26,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
85,2,02-RC-142177,Nyack Hospital,RC,NYACK,NY,2015-01-15,20.0,0.0,20.0,1199seiu united healthcare workers east,Directed,WON,,2015-01-23,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
86,2,02-RC-142178,The New York Eye and Ear Infirmary,RC,New York,NY,2015-01-15,29.0,19.0,10.0,local one security officers union,Directed,,LOSS,2015-01-30,Certification of Results,,,,,,,,,,,,,,,,,,,,,
87,2,02-RC-142564,"Shleppers Holdings, LLC",RC,Bronx,NY,2015-01-16,99.0,74.0,11.0,"brotherhood of amalgamated trades, local union 514",Directed,,LOSS,2015-01-26,Certification of Results,,,,,,,,,,,,,,,,,,,,,
88,2,02-RC-143014,DCH Mamaroneck LLC DCH Toyota City,RC,Mamaroneck,NY,2015-02-05,21.0,1.0,13.0,"local 259 united automobile workers, uaw",Stipulated,WON,,2015-02-13,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
89,2,02-RC-143352,Meenan Oil Co. LP d/b/a Carpenter and Smith,RC,Monroe,NY,2015-02-02,15.0,10.0,5.0,"local 456, international brotherhood of teamsters",Stipulated,,LOSS,2015-02-10,Certification of Results,,,,,,,,,,,,,,,,,,,,,
90,2,02-RC-143810,"J & R Tours, Ltd.",RC,Mount Vernon,NY,2015-02-11,65.0,28.0,25.0,"transport workers union local 100, afl-cio",Stipulated,,LOSS,2015-02-19,Certification of Results,,,,,,,,,,,,,,,,,,,,,
91,2,02-RC-143939,Island Hospitality Management V LLC D/B/A Hampton Inn,RC,Elmsford,NY,2015-02-12,19.0,1.0,16.0,"brotherhood of amalgamated trades, local union 514",Stipulated,WON,,2015-02-20,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
92,2,02-RC-144858,Millennium Protective Services,RC,Bronx,NY,2015-03-17,109.0,50.0,17.0,"united security officers of america, local 821",Stipulated,,LOSS,2015-04-09,Certification of Results,,,,,,,,,,,,,,,,,,,,,
93,2,02-RC-144888,"Jane Street Entertainment, LLC",RC,New York,NY,2015-02-24,111.0,6.0,43.0,"writers guild of america east, inc.",Stipulated,WON,,2015-03-30,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
94,2,02-RC-144977,Montefiore Medical Center Westchester Square Campus,RC,Bronx,NY,2015-03-03,7.0,3.0,4.0,special and superior benevolent officers association,Stipulated,WON,,2015-03-11,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
95,2,02-RC-146948,Bronx-Lebanon Hospital Center,RC,Bronx,NY,2015-03-26,18.0,0.0,16.0,new york state nurses association,Stipulated,WON,,2015-04-03,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
96,2,02-RC-147504,Griffin Court Condominium,RC,New York,NY,2015-04-09,6.0,0.0,5.0,service employees international union local 32bj,Stipulated,WON,,2015-04-17,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
97,2,02-RC-147638,"USI Services Group, Inc.",RC,Union,NJ,2015-04-03,18.0,0.0,14.0,"international brotherhood of electrical workers, local 1249, afl-cio",Stipulated,WON,LOSS,2015-04-28,Certification of Results,,,,,,,,,,,,,,,,,,,,,
98,2,02-RC-147818,Northern Riverview Healthcare Center,RC,Haverstraw,NY,2015-04-15,38.0,0.0,33.0,1199 seiu united healthcare workers east,Stipulated,WON,,2015-04-23,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
99,2,02-RC-148023,"Shalom Ambulette Services, Inc.",RC,WHITE PLAINS,NY,2015-04-14,12.0,3.0,7.0,"local 1430, international brotherhood of electrical workers,
afl-cio",Stipulated,WON,,2015-04-22,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
100,2,02-RC-149016,"West Side Radiology Associates, P.C.",RC,New York,NY,2015-05-06,13.0,0.0,11.0,1199seiu united healthcare workers east,Stipulated,WON,,2015-05-14,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
